	Drug ID	Gene
6854	DB01045	P08684
6855	DB01045	P02763
6856	DB01045	P20813
6857	DB01045	P11712
6858	DB01045	P05177
6859	DB01045	P24462
6860	DB01047	P08684
6861	DB01047	Q99835
6862	DB01049	P30939
6863	DB01049	P08588
6864	DB01049	P08684
6865	DB01049	P35368
6866	DB01049	P13945
6867	DB01049	P21917
6868	DB01049	P50406
6869	DB01049	P08908
6870	DB01049	P21728
6871	DB01050	P13569
6872	DB01050	O15439
6873	DB01050	P08183
6874	DB01051	Q9NSA0
6875	DB01053	Q9Y6L6
6876	DB01053	Q16348
6877	DB01053	Q9H015
6878	DB01054	P54289
6879	DB01057	P06276
6880	DB01058	P20815
6881	DB01058	P08684
6882	DB01059	O76082
6883	DB01063	P10275
6884	DB01064	P08588
6885	DB01065	Q92753
6886	DB01065	P11678
6887	DB01066	P0A3M6
6888	DB01067	P11712
6889	DB01068	Q8N1C3
6890	DB01068	Q16445
6891	DB01068	P48169
6892	DB01069	Q9H252
6893	DB01069	Q9UQD0
6894	DB01069	P35367
6895	DB01069	Q9Y6J6
6896	DB01069	Q9NSA2
6897	DB01069	Q9H3M0
6898	DB01069	O15439
6899	DB01069	P18825
6900	DB01069	P18089
6901	DB01069	Q9BPV8
6902	DB01069	P56373
6903	DB01069	P43657
6904	DB01069	Q9UK17
6905	DB01069	Q9UBL9
6906	DB01069	P22460
6907	DB01069	Q9UI33
6908	DB01069	P11229
6909	DB01069	O00398
6910	DB01069	Q8TDN2
6911	DB01070	P11473
6912	DB01072	P22309
6913	DB01072	P02763
6914	DB01073	Q99808
6915	DB01076	Q92769
6916	DB01076	Q9Y6L6
6917	DB01076	P46721
6918	DB01079	P08183
6919	DB01079	P31645
6920	DB01081	P35372
6921	DB01082	Q9UM07
6922	DB01083	P07098
6923	DB01085	P20309
6924	DB01086	P08183
6925	DB01087	P08684
6926	DB01087	P16083
6927	DB01088	O94956
6928	DB01088	Q9Y5Y4
6929	DB01089	Q05940
6930	DB01092	Q6ZQN7
6931	DB01092	Q9Y6L6
6932	DB01094	P35610
6933	DB01095	P46059
6934	DB01095	O94956
6935	DB01097	P35869
6936	DB01098	P46721
6937	DB01098	Q9NPD5
6938	DB01098	P02768
6939	DB01099	P12461
6940	DB01100	P10635
6941	DB01100	P24462
6942	DB01102	P08588
6943	DB01104	P31645
6944	DB01104	P23975
6945	DB01107	P18505
6946	DB01107	O00591
6947	DB01107	P28472
6948	DB01107	P78334
6949	DB01108	Q92731
6950	DB01109	P02776
6951	DB01109	P14210
6952	DB01109	P22455
6953	DB01110	Q9H2S1
6954	DB01110	Q9Y6H6
6955	DB01110	P22460
6956	DB01110	P20813
6957	DB01110	Q9UNX9
6958	DB01110	Q03721
6959	DB01110	Q92953
6960	DB01110	P33261
6961	DB01110	P17658
6962	DB01110	P11509
6963	DB01110	P10632
6964	DB01110	Q01668
6965	DB01110	P35228
6966	DB01110	Q96PR1
6967	DB01110	Q12809
6968	DB01110	P29474
6969	DB01110	Q9H252
6970	DB01110	Q8WWG9
6971	DB01110	Q96KK3
6972	DB01110	Q9UJ96
6973	DB01110	Q9NSA2
6974	DB01113	Q07343
6975	DB01115	O15438
6976	DB01115	P02768
6977	DB01118	P07550
6978	DB01118	Q13936
6979	DB01118	P10827
6980	DB01118	P08183
6981	DB01118	Q01668
6982	DB01118	Q12809
6983	DB01118	O60840
6984	DB01119	P00918
6985	DB01119	P05023
6986	DB01120	P02768
6987	DB01120	Q09428
6988	DB01123	P00734
6989	DB01124	P46059
6990	DB01127	O75469
6991	DB01128	P08183
6992	DB01131	P13922
6993	DB01132	Q9Y6L6
6994	DB01133	P29350
6995	DB01133	P15313
6996	DB01133	Q05209
6997	DB01133	Q9Y5K8
6998	DB01133	P38606
6999	DB01133	Q8NHE4
7000	DB01133	P02768
7001	DB01133	Q16864
7002	DB01133	P21281
7003	DB01133	Q13488
7004	DB01135	P06276
7005	DB01136	P07550
7006	DB01136	P16860
7007	DB01136	P18089
7008	DB01137	Q96FL8
7009	DB01138	Q96S37
7010	DB01140	Q8DR59
7011	DB01140	P46059
7012	DB01140	Q8TCC7
7013	DB01142	P08912
7014	DB01142	P50406
7015	DB01142	P35368
7016	DB01142	P28335
7017	DB01144	P00918
7018	DB01149	P08913
7019	DB01149	Q12809
7020	DB01149	P28335
7021	DB01150	P0A3M5
7022	DB01151	P08912
7023	DB01151	P28223
7024	DB01151	P08588
7025	DB01151	P20309
7026	DB01151	P35367
7027	DB01151	P35348
7028	DB01153	P10613
7029	DB01154	P11712
7030	DB01155	P43702
7031	DB01158	P05023
7032	DB01159	P14867
7033	DB01159	Q8N1C3
7034	DB01159	Q9NPC2
7035	DB01159	Q12879
7036	DB01159	P48169
7037	DB01159	Q8TCU5
7038	DB01159	P59768
7039	DB01159	Q6W5P4
7040	DB01159	P08100
7041	DB01160	Q4U2R8
7042	DB01162	P01137
7043	DB01162	P08183
7044	DB01163	Q75Y35
7045	DB01163	P0A3M6
7046	DB01165	O95342
7047	DB01165	P43700
7048	DB01165	P05177
7049	DB01167	Q16850
7050	DB01167	P08183
7051	DB01169	P29590
7052	DB01171	P21397
7053	DB01174	P36544
7054	DB01174	O15438
7055	DB01174	P08183
7056	DB01174	Q8TCU5
7057	DB01174	P11712
7058	DB01175	P25100
7059	DB01175	P35367
7060	DB01175	P11229
7061	DB01175	P18089
7062	DB01175	P23975
7063	DB01175	P08908
7064	DB01177	P33527
7065	DB01182	P08588
7066	DB01183	P23141
7067	DB01183	P41143
7068	DB01185	P04150
7069	DB01186	P08913
7070	DB01186	P28222
7071	DB01186	P14416
7072	DB01188	P05023
7073	DB01189	O00591
7074	DB01189	P34903
7075	DB01189	P14867
7076	DB01189	Q09470
7077	DB01189	O14983
7078	DB01189	P18507
7079	DB01190	P08183
7080	DB01191	P28335
7081	DB01193	P07550
7082	DB01194	P08684
7083	DB01194	P07451
7084	DB01195	P02768
7085	DB01195	Q92736
7086	DB01195	Q96FL8
7087	DB01197	P14780
7088	DB01197	P02768
7089	DB01198	P10632
7090	DB01198	P14867
7091	DB01199	P36544
7092	DB01200	P08908
7093	DB01200	P21728
7094	DB01200	P28223
7095	DB01201	P33261
7096	DB01203	Q86VL8
7097	DB01204	P05181
7098	DB01205	P14867
7099	DB01206	Q9H169
7100	DB01208	P11388
7101	DB01208	P43700
7102	DB01209	P41145
7103	DB01210	P08588
7104	DB01211	Q12809
7105	DB01211	P08183
7106	DB01211	Q9Y694
7107	DB01212	P15104
7108	DB01212	P02768
7109	DB01212	P46059
7110	DB01213	P00326
7111	DB01214	P07550
7112	DB01215	P14867
7113	DB01215	Q9UN88
7114	DB01215	Q99928
7115	DB01215	P34903
7116	DB01216	P51857
7117	DB01216	P08684
7118	DB01217	P10632
7119	DB01220	P0A8V2
7120	DB01220	P08684
7121	DB01221	P30939
7122	DB01221	P41145
7123	DB01221	P28223
7124	DB01221	P28566
7125	DB01221	P08173
7126	DB01221	P08172
7127	DB01222	P08183
7128	DB01222	P46721
7129	DB01222	P08185
7130	DB01223	Q92769
7131	DB01223	P05181
7132	DB01224	P08913
7133	DB01224	P08173
7134	DB01224	P08912
7135	DB01224	P18825
7136	DB01224	P25100
7137	DB01224	P08908
7138	DB01226	P20309
7139	DB01226	P06276
7140	DB01229	P10415
7141	DB01229	O75469
7142	DB01231	P20309
7143	DB01232	P08183
7144	DB01232	Q9Y6L6
7145	DB01233	P05177
7146	DB01233	P46098
7147	DB01234	P46721
7148	DB01235	P46059
7149	DB01235	Q8TF71
7150	DB01236	P47869
7151	DB01236	P28472
7152	DB01236	P03886
7153	DB01236	Q99928
7154	DB01238	P08908
7155	DB01238	P07550
7156	DB01238	P25021
7157	DB01238	O15399
7158	DB01238	P35372
7159	DB01238	P08913
7160	DB01238	P50406
7161	DB01238	P47898
7162	DB01238	P41143
7163	DB01238	P28223
7164	DB01239	P14416
7165	DB01239	P08173
7166	DB01239	P34969
7167	DB01239	A5X5Y0
7168	DB01240	P43119
7169	DB01241	Q9Y6L6
7170	DB01241	P02768
7171	DB01241	P35503
7172	DB01242	P09211
7173	DB01244	P08684
7174	DB01244	P0DP23
7175	DB01244	Q01064
7176	DB01244	P05023
7177	DB01245	P06276
7178	DB01248	P10636
7179	DB01248	Q5T3U5
7180	DB01248	P10415
7181	DB01251	Q09428
7182	DB01254	P07948
7183	DB01254	P09769
7184	DB01254	P00519
7185	DB01254	P12931
7186	DB01254	P06241
7187	DB01254	P09619
7188	DB01254	Q16539
7189	DB01254	P06239
7190	DB01254	P07947
7191	DB01255	Q96RJ0
7192	DB01256	Q9A1X4
7193	DB01259	P04626
7194	DB01259	P33261
7195	DB01259	P20815
7196	DB01261	P08183
7197	DB01262	P26358
7198	DB01264	P08183
7199	DB01267	P34969
7200	DB01267	P10635
7201	DB01267	P20815
7202	DB01268	P07333
7203	DB01268	P20815
7204	DB01271	O60664
7205	DB01273	O15244
7206	DB01273	Q15825
7207	DB01274	P10635
7208	DB01277	P11717
7209	DB01277	P08833
7210	DB01278	O60894
7211	DB01283	P23219
7212	DB01285	P06850
7213	DB01285	O15528
7214	DB01288	P07550
7215	DB01291	P08588
7216	DB01295	P07550
7217	DB01296	P14672
7218	DB01297	P08588
7219	DB01303	Q9Y694
7220	DB01303	P30542
7221	DB01307	P02768
7222	DB01309	P05177
7223	DB01324	P55017
7224	DB01325	Q13621
7225	DB01325	P00915
7226	DB01326	Q9NSA0
7227	DB01327	P02768
7228	DB01327	P60568
7229	DB01328	P0AD68
7230	DB01328	P02918
7231	DB01329	Q4U2R8
7232	DB01329	P02918
7233	DB01329	P02919
7234	DB01330	P02768
7235	DB01331	P02919
7236	DB01332	Q8TCC7
7237	DB01333	P46059
7238	DB01333	P08684
7239	DB01337	P20309
7240	DB01337	Q15822
7241	DB01339	P08183
7242	DB01348	P12821
7243	DB01351	P42262
7244	DB01351	P31644
7245	DB01351	P36544
7246	DB01352	P36544
7247	DB01353	Q13002
7248	DB01354	P14867
7249	DB01355	P11712
7250	DB01355	P31644
7251	DB01355	Q16445
7252	DB01357	P03372
7253	DB01363	P13945
7254	DB01363	P23975
7255	DB01364	P23975
7256	DB01365	P07550
7257	DB01365	P08588
7258	DB01367	P27338
7259	DB01370	P05023
7260	DB01373	P04271
7261	DB01373	P12644
7262	DB01373	Q13936
7263	DB01373	P05109
7264	DB01375	P21796
7265	DB01380	P04150
7266	DB01380	P08183
7267	DB01380	P20815
7268	DB01381	P14867
7269	DB01384	P08185
7270	DB01388	O43497
7271	DB01388	P54284
7272	DB01388	P10635
7273	DB01388	P20815
7274	DB01390	Q9BY07
7275	DB01392	P28223
7276	DB01392	P41595
7277	DB01393	O75469
7278	DB01393	P48443
7279	DB01393	P37231
7280	DB01394	P08684
7281	DB01395	P08235
7282	DB01395	P10275
7283	DB01396	P05108
7284	DB01403	P08173
7285	DB01403	P21728
7286	DB01403	P11229
7287	DB01404	P35869
7288	DB01405	P05177
7289	DB01406	P10275
7290	DB01407	P04798
7291	DB01408	P06276
7292	DB01409	O76082
7293	DB01410	P23141
7294	DB01411	P12724
7295	DB01411	P05113
7296	DB01413	Q16348
7297	DB01413	O76082
7298	DB01414	Q8TCC7
7299	DB01415	P0AD65
7300	DB01419	P35354
7301	DB01424	P33261
7302	DB01424	Q4U2R8
7303	DB01427	Q14432
7304	DB01427	Q08499
7305	DB01428	P03372
7306	DB01429	P0DP23
7307	DB01435	Q4U2R8
7308	DB01437	P31644
7309	DB01437	P34903
7310	DB01437	P47870
7311	DB01439	P41145
7312	DB01442	P28223
7313	DB01444	P35372
7314	DB01454	P10635
7315	DB01454	Q05940
7316	DB01454	P31645
7317	DB01466	P35372
7318	DB01472	Q05940
7319	DB01482	P05177
7320	DB01483	P48169
7321	DB01488	P28223
7322	DB01489	Q99928
7323	DB01489	P28472
7324	DB01496	P31644
7325	DB01496	P47869
7326	DB01497	O60858
7327	DB01497	P41146
7328	DB01511	O14764
7329	DB01511	P47870
7330	DB01511	P34903
7331	DB01520	Q8TCU5
7332	DB01536	P14060
7333	DB01541	P10275
7334	DB01544	Q16445
7335	DB01544	P34903
7336	DB01544	P47869
7337	DB01544	P11712
7338	DB01545	P18507
7339	DB01545	P14867
7340	DB01545	Q9UN88
7341	DB01545	P31644
7342	DB01548	O60858
7343	DB01548	P41143
7344	DB01549	Q8TCU5
7345	DB01553	P47870
7346	DB01553	P48169
7347	DB01553	P34903
7348	DB01553	Q99928
7349	DB01558	P78334
7350	DB01558	P48169
7351	DB01558	P47870
7352	DB01558	P33261
7353	DB01558	P18507
7354	DB01558	O14764
7355	DB01559	O00591
7356	DB01559	P20813
7357	DB01559	Q16445
7358	DB01565	P01189
7359	DB01567	Q99928
7360	DB01567	P18505
7361	DB01569	P80365
7362	DB01571	P41145
7363	DB01576	P08913
7364	DB01576	P18089
7365	DB01577	P31645
7366	DB01577	Q05940
7367	DB01577	P23975
7368	DB01577	O75751
7369	DB01579	P35368
7370	DB01581	P0AC13
7371	DB01582	P02768
7372	DB01583	Q9Y6L6
7373	DB01583	P46721
7374	DB01583	Q8TF71
7375	DB01583	P08183
7376	DB01583	P02766
7377	DB01586	Q92887
7378	DB01586	Q96RI1
7379	DB01587	P48169
7380	DB01587	P31644
7381	DB01587	Q9UN88
7382	DB01588	P14867
7383	DB01588	P31644
7384	DB01588	P48169
7385	DB01588	P47870
7386	DB01589	P47869
7387	DB01589	P78334
7388	DB01589	P08684
7389	DB01590	P08684
7390	DB01591	P20309
7391	DB01592	Q16595
7392	DB01592	Q969S2
7393	DB01592	Q96FI4
7394	DB01593	P15924
7395	DB01593	P08779
7396	DB01593	P04217
7397	DB01593	P02795
7398	DB01593	P04004
7399	DB01593	O14556
7400	DB01593	P27169
7401	DB01593	P35527
7402	DB01593	P01308
7403	DB01593	P19823
7404	DB01593	P00751
7405	DB01593	P01871
7406	DB01593	P05160
7407	DB01593	P04637
7408	DB01593	P19652
7409	DB01593	P13645
7410	DB01593	Q9BY41
7411	DB01593	P04731
7412	DB01593	P51693
7413	DB01593	P03372
7414	DB01593	P00748
7415	DB01593	P08185
7416	DB01593	P00734
7417	DB01594	P78334
7418	DB01594	O14764
7419	DB01594	P18505
7420	DB01594	O00591
7421	DB01595	Q16445
7422	DB01595	Q8N1C3
7423	DB01597	Q4U2R8
7424	DB01598	Q939N4
7425	DB01600	P23219
7426	DB01601	P08183
7427	DB01608	P21728
7428	DB01609	P08684
7429	DB01610	Q16348
7430	DB01611	P08684
7431	DB01614	P35368
7432	DB01621	P33261
7433	DB01621	P02768
7434	DB01624	P35367
7435	DB01624	P28223
7436	DB01624	P14416
7437	DB01624	P08913
7438	DB01625	P20309
7439	DB01629	P05543
7440	DB01633	O85465
7441	DB01640	Q13370
7442	DB01643	P03007
7443	DB01643	P00469
7444	DB01645	Q15788
7445	DB01645	P04278
7446	DB01645	Q14289
7447	DB01645	P05177
7448	DB01649	P06730
7449	DB01656	Q07343
7450	DB01662	P17538
7451	DB01664	P42262
7452	DB01673	P14900
7453	DB01676	P71278
7454	DB01677	P80040
7455	DB01683	Q8RJN5
7456	DB01685	Q9UNQ0
7457	DB01688	Q05603
7458	DB01690	P0A6I9
7459	DB01692	P9WHE9
7460	DB01694	Q9HU21
7461	DB01694	O25927
7462	DB01694	Q9NP99
7463	DB01695	P60174
7464	DB01700	P31939
7465	DB01702	P00436
7466	DB01708	Q13224
7467	DB01708	O15399
7468	DB01708	P10275
7469	DB01708	Q07869
7470	DB01708	Q14957
7471	DB01708	Q9UN88
7472	DB01708	P78334
7473	DB01725	P00749
7474	DB01726	Q05603
7475	DB01727	O75874
7476	DB01731	P42768
7477	DB01736	P12235
7478	DB01744	Q8NET8
7479	DB01751	P02766
7480	DB01752	P0A876
7481	DB01752	Q56308
7482	DB01752	P43912
7483	DB01752	P11409
7484	DB01752	O60678
7485	DB01752	Q9WYV8
7486	DB01752	Q14353
7487	DB01752	O14717
7488	DB01752	P0ACC1
7489	DB01756	P49247
7490	DB01762	O60669
7491	DB01764	P08684
7492	DB01766	P00734
7493	DB01768	Q26966
7494	DB01772	P49841
7495	DB01777	Q16613
7496	DB01786	P15555
7497	DB01790	P10644
7498	DB01795	Q9L9D7
7499	DB01807	Q16539
7500	DB01809	P08631
7501	DB01810	Q9UBX1
7502	DB01812	Q06520
7503	DB01812	P52848
7504	DB01812	P49888
7505	DB01813	P0AB80
7506	DB01815	P0A872
7507	DB01818	P11226
7508	DB01819	Q92959
7509	DB01822	P12256
7510	DB01826	P00147
7511	DB01827	P17931
7512	DB01829	P26841
7513	DB01833	P29474
7514	DB01835	P35228
7515	DB01837	P23219
7516	DB01840	Q9NPH2
7517	DB01841	P05618
7518	DB01844	P00797
7519	DB01854	P52961
7520	DB01857	P71447
7521	DB01861	Q14376
7522	DB01861	Q8KN66
7523	DB01861	P09148
7524	DB01862	P03023
7525	DB01863	Q9UN19
7526	DB01866	P12931
7527	DB01873	P08684
7528	DB01873	Q13509
7529	DB01878	Q92731
7530	DB01879	P33038
7531	DB01880	P16113
7532	DB01882	P0A079
7533	DB01887	P03366
7534	DB01889	Q14994
7535	DB01890	Q07869
7536	DB01892	Q9Y6L6
7537	DB01893	P12931
7538	DB01901	P05230
7539	DB01910	P13956
7540	DB01912	Q46730
7541	DB01914	P19367
7542	DB01914	Q9BYW1
7543	DB01915	P01024
7544	DB01923	P39304
7545	DB01929	P22906
7546	DB01932	P00720
7547	DB01934	P00803
7548	DB01938	P10943
7549	DB01942	P0A733
7550	DB01942	P77872
7551	DB01942	P77454
7552	DB01942	P39841
7553	DB01942	Q9NQX3
7554	DB01942	Q46891
7555	DB01942	P0A6K3
7556	DB01942	Q99418
7557	DB01942	P9WPE1
7558	DB01948	Q16539
7559	DB01950	P49841
7560	DB01954	Q07343
7561	DB01955	Q9UKM7
7562	DB01956	P54965
7563	DB01956	Q9UN88
7564	DB01956	Q13224
7565	DB01956	P46059
7566	DB01956	O14764
7567	DB01959	Q07343
7568	DB01962	P10721
7569	DB01964	P00918
7570	DB01966	P07602
7571	DB01970	Q13370
7572	DB01972	P78352
7573	DB01972	Q16774
7574	DB01972	P31939
7575	DB01973	P0A115
7576	DB01979	P11226
7577	DB01981	Q9F5I8
7578	DB01986	P00720
7579	DB01989	Q9Y6L7
7580	DB01992	P13702
7581	DB01992	Q92831
7582	DB01992	O06644
7583	DB01992	Q81EE4
7584	DB01992	P43886
7585	DB01992	Q92830
7586	DB01992	P09373
7587	DB01993	P10724
7588	DB01997	P29475
7589	DB02001	Q86XF0
7590	DB02005	Q01468
7591	DB02007	P11217
7592	DB02007	Q9X108
7593	DB02010	P49841
7594	DB02010	P43403
7595	DB02018	P20231
7596	DB02021	O60218
7597	DB02024	Q75WK2
7598	DB02027	P29474
7599	DB02029	P34913
7600	DB02031	P0A884
7601	DB02032	P52700
7602	DB02042	P96622
7603	DB02044	P29475
7604	DB02046	Q9UKQ2
7605	DB02049	P45452
7606	DB02052	Q15078
7607	DB02052	P35869
7608	DB02059	Q9NTG7
7609	DB02059	P83844
7610	DB02059	P26397
7611	DB02060	P71278
7612	DB02061	P37700
7613	DB02068	P50440
7614	DB02069	P00918
7615	DB02076	P52209
7616	DB02078	P06241
7617	DB02078	A0A6L7H165
7618	DB02078	A9CJ63
7619	DB02078	P61320
7620	DB02087	P00918
7621	DB02090	P08254
7622	DB02094	P00811
7623	DB02097	Q9BZX2
7624	DB02111	Q27743
7625	DB02114	Q9UNI1
7626	DB02115	P05091
7627	DB02116	P28482
7628	DB02118	P39900
7629	DB02129	P05020
7630	DB02131	P00326
7631	DB02135	P9WHE9
7632	DB02139	P33247
7633	DB02142	P10724
7634	DB02147	P15879
7635	DB02151	P0AE18
7636	DB02153	P77150
7637	DB02153	Q8NX78
7638	DB02153	P15090
7639	DB02153	Q9FD87
7640	DB02154	P52699
7641	DB02159	P61626
7642	DB02161	P23141
7643	DB02163	Q05603
7644	DB02175	P09012
7645	DB02180	O60551
7646	DB02182	P0ABE7
7647	DB02186	Q54873
7648	DB02187	P14061
7649	DB02189	P04053
7650	DB02195	Q16539
7651	DB02196	Q16222
7652	DB02196	Q9UBQ6
7653	DB02201	Q99470
7654	DB02210	P01112
7655	DB02216	P07339
7656	DB02223	P0A884
7657	DB02229	P00959
7658	DB02232	P47228
7659	DB02234	P0A094
7660	DB02235	Q93UV9
7661	DB02237	Q08751
7662	DB02251	P29208
7663	DB02255	P16112
7664	DB02256	P0A884
7665	DB02260	P0ACB2
7666	DB02261	P25105
7667	DB02263	Q92959
7668	DB02265	P04958
7669	DB02266	P10275
7670	DB02266	Q07869
7671	DB02267	P04424
7672	DB02269	P07477
7673	DB02270	P16384
7674	DB02277	Q16539
7675	DB02279	Q9UJM8
7676	DB02281	P0AF12
7677	DB02282	Q13126
7678	DB02285	P02792
7679	DB02287	P07477
7680	DB02296	P00797
7681	DB02299	P22459
7682	DB02300	P11473
7683	DB02309	P31939
7684	DB02311	P62942
7685	DB02317	P71447
7686	DB02320	P11217
7687	DB02322	P13501
7688	DB02333	P06968
7689	DB02338	Q01782
7690	DB02338	Q07982
7691	DB02342	Q16665
7692	DB02342	P21964
7693	DB02343	P83788
7694	DB02346	Q55793
7695	DB02359	P07900
7696	DB02361	P37700
7697	DB02363	P07998
7698	DB02365	P52700
7699	DB02367	P08254
7700	DB02371	P09871
7701	DB02377	P0A9M5
7702	DB02379	Q9ZEU2
7703	DB02379	P26221
7704	DB02379	P37698
7705	DB02379	O34974
7706	DB02379	Q26609
7707	DB02379	P19367
7708	DB02379	P05618
7709	DB02379	P0AC38
7710	DB02379	Q08751
7711	DB02379	P26466
7712	DB02379	P04958
7713	DB02379	O14594
7714	DB02379	P23905
7715	DB02379	P38940
7716	DB02379	Q54331
7717	DB02382	P9WJJ7
7718	DB02383	O60218
7719	DB02384	P31992
7720	DB02402	P22906
7721	DB02405	P09466
7722	DB02407	P20248
7723	DB02415	P17315
7724	DB02415	Q9K597
7725	DB02419	P62937
7726	DB02424	P14625
7727	DB02425	P9WMC1
7728	DB02431	P0ABQ0
7729	DB02431	P42216
7730	DB02434	P95468
7731	DB02435	P07477
7732	DB02437	P39377
7733	DB02438	P15587
7734	DB02448	P04054
7735	DB02451	P04118
7736	DB02451	P48549
7737	DB02451	P30301
7738	DB02451	Q146M9
7739	DB02452	Q08698
7740	DB02452	Q9HU22
7741	DB02456	P0A6I0
7742	DB02458	P09488
7743	DB02463	P07477
7744	DB02467	P22364
7745	DB02467	P20339
7746	DB02475	Q05581
7747	DB02482	P17612
7748	DB02483	Q10588
7749	DB02494	P61313
7750	DB02494	P39023
7751	DB02496	P0A794
7752	DB02498	P09874
7753	DB02506	P62136
7754	DB02509	Q96RI1
7755	DB02510	P07814
7756	DB02513	P11509
7757	DB02527	O15440
7758	DB02530	P50440
7759	DB02538	P24941
7760	DB02546	Q9UBN7
7761	DB02549	P26394
7762	DB02552	Q4R2T2
7763	DB02552	P14324
7764	DB02552	P62617
7765	DB02556	Q16773
7766	DB02557	P23276
7767	DB02573	P07998
7768	DB02578	P15555
7769	DB02580	L0DSL2
7770	DB02580	Q74EF5
7771	DB02587	P13569
7772	DB02593	P25910
7773	DB02596	Q96T66
7774	DB02602	P00918
7775	DB02606	P14941
7776	DB02611	P17612
7777	DB02615	P18031
7778	DB02617	P00183
7779	DB02621	P68133
7780	DB02624	P19634
7781	DB02627	P00811
7782	DB02629	P03366
7783	DB02632	P00722
7784	DB02637	Q9ZF99
7785	DB02638	P37288
7786	DB02642	P62594
7787	DB02643	P03276
7788	DB02644	P29475
7789	DB02647	P24941
7790	DB02657	O34450
7791	DB02658	P22073
7792	DB02659	P51161
7793	DB02659	P08183
7794	DB02659	P14854
7795	DB02659	Q8TCC7
7796	DB02659	P46721
7797	DB02660	Q07343
7798	DB02670	P30920
7799	DB02673	P22303
7800	DB02679	P00918
7801	DB02680	P49424
7802	DB02685	P07858
7803	DB02689	P05089
7804	DB02698	P02766
7805	DB02701	Q9NXA8
7806	DB02701	Q10588
7807	DB02703	Q92887
7808	DB02709	Q14994
7809	DB02709	P37231
7810	DB02709	P31749
7811	DB02709	O75469
7812	DB02709	P16083
7813	DB02709	P23219
7814	DB02711	P9WHE9
7815	DB02713	O31616
7816	DB02719	P11217
7817	DB02721	P00325
7818	DB02726	P14618
7819	DB02726	P30613
7820	DB02731	Q9X180
7821	DB02733	Q07785
7822	DB02733	P28482
7823	DB02735	P08842
7824	DB02740	P01850
7825	DB02742	Q9UKM7
7826	DB02743	Q65CX5
7827	DB02746	P48443
7828	DB02746	O94956
7829	DB02746	P06401
7830	DB02750	Q9UHI5
7831	DB02751	Q14353
7832	DB02755	P20645
7833	DB02758	Q9NZK7
7834	DB02761	P31101
7835	DB02768	P03366
7836	DB02772	P05655
7837	DB02772	Q840M4
7838	DB02772	P61626
7839	DB02776	P20261
7840	DB02780	P12488
7841	DB02786	P15474
7842	DB02789	O00204
7843	DB02790	P09147
7844	DB02800	P75430
7845	DB02801	P15474
7846	DB02803	P00797
7847	DB02811	P9WQN9
7848	DB02812	P07477
7849	DB02818	P42262
7850	DB02821	P04181
7851	DB02824	Q9X266
7852	DB02829	P06820
7853	DB02837	P11226
7854	DB02839	P00438
7855	DB02841	P62594
7856	DB02843	P26276
7857	DB02848	P09467
7858	DB02850	P32754
7859	DB02855	P07858
7860	DB02860	P36873
7861	DB02868	P0DP23
7862	DB02870	P00720
7863	DB02876	P05364
7864	DB02878	P13716
7865	DB02884	P08048
7866	DB02887	P15531
7867	DB02892	P04964
7868	DB02894	P00918
7869	DB02896	P0ABP8
7870	DB02898	P24941
7871	DB02899	P26790
7872	DB02899	P26789
7873	DB02899	P41020
7874	DB02901	P10275
7875	DB02901	P03372
7876	DB02902	P49888
7877	DB02923	P17297
7878	DB02928	P46883
7879	DB02930	P9WI81
7880	DB02933	P0AF12
7881	DB02943	P08263
7882	DB02948	P45568
7883	DB02951	Q07412
7884	DB02953	P22894
7885	DB02955	P21554
7886	DB02968	P18357
7887	DB02973	P24941
7888	DB02977	P18031
7889	DB02980	P24289
7890	DB02983	Q92731
7891	DB02985	P81989
7892	DB02989	P07477
7893	DB02994	P15121
7894	DB02995	P33038
7895	DB03003	P08263
7896	DB03010	P08684
7897	DB03011	P24289
7898	DB03017	Q9Y6Y9
7899	DB03017	Q82122
7900	DB03017	P0A953
7901	DB03017	O00206
7902	DB03022	P9WHE9
7903	DB03026	P0AB74
7904	DB03026	P60174
7905	DB03038	P0A884
7906	DB03041	Q14376
7907	DB03052	P24557
7908	DB03059	P30084
7909	DB03059	Q06319
7910	DB03062	P30418
7911	DB03063	P46925
7912	DB03066	P53985
7913	DB03074	P28720
7914	DB03078	P12931
7915	DB03084	P53779
7916	DB03088	P01709
7917	DB03088	P15692
7918	DB03092	P04746
7919	DB03097	P10724
7920	DB03100	P29474
7921	DB03103	P15531
7922	DB03106	P04062
7923	DB03118	P12497
7924	DB03121	P14555
7925	DB03127	P35030
7926	DB03127	P06870
7927	DB03127	P07477
7928	DB03128	O76082
7929	DB03128	O15245
7930	DB03132	P52270
7931	DB03135	P60174
7932	DB03136	P00749
7933	DB03140	P00811
7934	DB03142	P02924
7935	DB03142	P0A9E0
7936	DB03146	P0A7D4
7937	DB03147	P29475
7938	DB03147	P15559
7939	DB03147	P28861
7940	DB03147	Q9KIE5
7941	DB03147	Q47PU3
7942	DB03147	Q15067
7943	DB03147	Q72JJ3
7944	DB03147	P35340
7945	DB03147	P38038
7946	DB03147	P27338
7947	DB03147	P14218
7948	DB03147	P00914
7949	DB03147	P37747
7950	DB03147	P9WIQ1
7951	DB03147	Q16881
7952	DB03147	P12676
7953	DB03147	P83223
7954	DB03148	P14193
7955	DB03150	P23919
7956	DB03152	P08100
7957	DB03153	P00492
7958	DB03156	Q8VVD2
